Metric,Value
Total Packets,2396
Azure Hits,0
HTTP Requests,0

Top IPs:
52.191.219.104,1249
192.168.1.12,455
104.208.16.88,41
20.231.53.73,22
51.132.193.104,14
98.80.110.208,8
35.213.7.90,4
109.176.239.0,4
109.176.239.69,4
35.212.104.44,4
174.129.41.12,4
18.97.36.55,3
44.198.249.51,3
13.224.163.54,2
34.107.140.113,2
34.36.216.150,2
151.101.130.49,2
34.1.250.35,2
151.101.129.140,2
34.96.105.8,2
35.207.140.152,2
13.204.106.34,2
35.213.183.23,2
34.117.77.79,2
34.246.142.19,2
69.173.144.165,2
34.111.79.67,2
192.168.1.254,2
151.101.1.91,1
34.107.165.188,1
199.232.20.157,1
34.36.214.49,1
35.227.244.76,1
34.4.35.11,1
35.244.159.8,1
99.86.29.60,1
108.158.232.11,1
18.202.143.113,1
34.98.67.3,1
35.244.154.8,1
20.190.145.160,1
44.199.182.218,1
20.201.200.56,1
20.42.65.90,1
