IP,Count,Protocol
192.168.1.12,131,IP
34.105.225.79,14,IP
52.182.143.211,11,IP
54.89.69.40,8,IP
54.251.34.228,7,IP
35.168.89.163,7,IP
52.34.138.162,7,IP
98.82.156.207,6,IP
47.130.150.180,5,IP
13.204.106.34,5,IP
52.0.156.250,5,IP
131.153.206.100,4,IP
74.121.143.240,4,IP
131.153.206.102,4,IP
52.212.3.207,4,IP
52.58.96.70,4,IP
111.91.0.119,4,IP
54.169.175.238,4,IP
13.228.182.255,4,IP
52.74.232.219,4,IP
44.195.192.191,4,IP
192.0.77.2,4,IP
82.145.213.8,3,IP
34.229.3.43,3,IP
52.223.40.198,3,IP
35.212.104.44,2,IP
57.129.18.111,2,IP
103.43.90.117,2,IP
44.199.182.218,2,IP
182.50.70.237,2,IP
44.198.249.51,2,IP
172.66.1.242,1,IP
52.223.2.229,1,IP
35.207.140.152,1,IP
34.96.105.8,1,IP
185.184.8.90,1,IP
54.248.99.102,1,IP
47.130.85.92,1,IP
95.173.218.100,1,IP
13.251.162.77,1,IP
35.213.183.23,1,IP
52.220.105.193,1,IP
34.246.142.19,1,IP
34.117.77.79,1,IP
13.205.136.254,1,IP
20.190.146.39,1,IP
18.97.36.55,1,IP
35.73.80.239,1,IP
8.214.60.171,1,IP
23.63.111.51,1,IP
104.18.26.216,1,IP
74.214.196.131,1,IP
13.225.103.18,1,IP
69.173.158.64,1,IP
35.163.222.101,1,IP
34.111.79.67,1,IP
109.176.239.0,1,IP
109.176.239.69,1,IP
142.250.193.142,1,IP
15.197.193.217,1,IP
142.251.43.98,1,IP

HTTP Requests:
